DateTime 	Temp 	Junk 	Junk 	Junk 	Junk 	Junk
10/25/16 09:31:30 AM	19.246					
10/25/16 10:31:30 AM	17.463					
10/25/16 11:31:30 AM	17.177					
10/25/16 12:31:30 PM	17.296					
10/25/16 01:31:30 PM	10.149					
10/25/16 02:31:30 PM	6.484					
10/25/16 03:31:30 PM	6.509					
10/25/16 04:31:30 PM	6.585					
10/25/16 05:31:30 PM	6.585					
10/25/16 06:31:30 PM	6.636					
10/25/16 07:31:30 PM	6.687					
10/25/16 08:31:30 PM	6.712					
10/25/16 09:31:30 PM	6.763					
10/25/16 10:31:30 PM	6.864					
10/25/16 11:31:30 PM	6.484					
10/26/16 12:31:30 AM	6.408					
10/26/16 01:31:30 AM	6.331					
10/26/16 02:31:30 AM	6.357					
10/26/16 03:31:30 AM	6.458					
10/26/16 04:31:30 AM	6.535					
10/26/16 05:31:30 AM	6.560					
10/26/16 06:31:30 AM	6.560					
10/26/16 07:31:30 AM	6.687					
10/26/16 08:31:30 AM	6.839					
10/26/16 09:31:30 AM	6.382					
10/26/16 10:31:30 AM	4.324					
10/26/16 11:31:30 AM	4.921					
10/26/16 12:31:30 PM	4.895					
10/26/16 01:31:30 PM	5.745					
10/26/16 02:31:30 PM	6.433					
10/26/16 03:31:30 PM	6.509					
10/26/16 04:31:30 PM	6.560					
10/26/16 05:31:30 PM	6.585					
10/26/16 06:31:30 PM	6.585					
10/26/16 07:31:30 PM	6.636					
10/26/16 08:31:30 PM	6.636					
10/26/16 09:31:30 PM	6.864					
10/26/16 10:31:30 PM	6.813					
10/26/16 11:31:30 PM	6.585					
10/27/16 12:31:30 AM	6.560					
10/27/16 01:31:30 AM	6.611					
10/27/16 02:31:30 AM	6.382					
10/27/16 03:31:30 AM	6.382					
10/27/16 04:31:30 AM	6.382					
10/27/16 05:31:30 AM	6.484					
10/27/16 06:31:30 AM	6.509					
10/27/16 07:31:30 AM	6.585					
10/27/16 08:31:30 AM	6.813					
10/27/16 09:31:30 AM	5.385					
10/27/16 10:31:30 AM	5.642					
10/27/16 11:31:30 AM	6.306					
10/27/16 12:31:30 PM	6.560					
10/27/16 01:31:30 PM	6.331					
10/27/16 02:31:30 PM	6.408					
10/27/16 03:31:30 PM	6.712					
10/27/16 04:31:30 PM	7.519					
10/27/16 05:31:30 PM	7.519					
10/27/16 06:31:30 PM	7.519					
10/27/16 07:31:30 PM	7.519					
10/27/16 08:31:30 PM	7.519					
10/27/16 09:31:30 PM	7.519					
10/27/16 10:31:30 PM	7.494					
10/27/16 11:31:30 PM	7.494					
10/28/16 12:31:30 AM	7.494					
10/28/16 01:31:30 AM	7.469					
10/28/16 02:31:30 AM	7.469					
10/28/16 03:31:30 AM	7.494					
10/28/16 04:31:30 AM	7.494					
10/28/16 05:31:30 AM	7.494					
10/28/16 06:31:30 AM	7.494					
10/28/16 07:31:30 AM	7.494					
10/28/16 08:31:30 AM	7.494					
10/28/16 09:31:30 AM	7.494					
10/28/16 10:31:30 AM	7.469					
10/28/16 11:31:30 AM	6.889					
10/28/16 12:31:30 PM	6.914					
10/28/16 01:31:30 PM	6.813					
10/28/16 02:31:30 PM	6.737					
10/28/16 03:31:30 PM	7.619					
10/28/16 04:31:30 PM	7.594					
10/28/16 05:31:30 PM	7.619					
10/28/16 06:31:30 PM	7.619					
10/28/16 07:31:30 PM	7.619					
10/28/16 08:31:30 PM	7.619					
10/28/16 09:31:30 PM	7.619					
10/28/16 10:31:30 PM	7.619					
10/28/16 11:31:30 PM	7.619					
10/29/16 12:31:30 AM	7.619					
10/29/16 01:31:30 AM	7.619					
10/29/16 02:31:30 AM	7.619					
10/29/16 03:31:30 AM	7.619					
10/29/16 04:31:30 AM	7.594					
10/29/16 05:31:30 AM	7.619					
10/29/16 06:31:30 AM	7.619					
10/29/16 07:31:30 AM	7.619					
10/29/16 08:31:30 AM	7.619					
10/29/16 09:31:30 AM	7.619					
10/29/16 10:31:30 AM	7.419					
